madde,anlam,lisan,telaffuz
değerli,"Değeri olan veya değeri yüksek olan; ağır, kıymetli, kıymettar, muteber, zikıymet",,
değersiz,"Değeri olmayan veya değeri çok az olan; derme çatma, kıymetsiz",,
değirmenlik,Değirmende öğütülmek için ayrılmış (tahıl) | Bir değirmen taşını işletecek güçte (akarsu),,
değişici,Biçimden biçime giren,,
değişimli,Değişme özelliği gösteren,,
değişimsiz,Değişme özelliği göstermeyen,,
değişinimci,Değişinimcilik yanlısı; mutasyonist [biyoloji],,
değişkin,Değişikliğe uğramış; muaddel,,
değişmez,"Aynen kalan, değişikliğe uğramayan",,
dehhaş,"Aşırı korku verici, dehşet saçıcı",Arapça dehhāş,dehha:ş
dehşetli,"Korku veya ürküntü veren | Çok fazla, son derece",,
deist,Deizm yanlısı [din bilimi],Fransızca déiste,
dejenere,Bozunmuş [kimya],Fransızca dégénéré,
dekalitrelik,Belli bir dekalitre hacminde olan,,
dekametrelik,Belli bir dekametre uzunluğunda olan,,
Dekartçı,Dekart felsefesini benimseyen [felsefe] | Dekart'ın öğretisini benimseyen; Kartezyen,,de'kartçı
deklare,Gümrüklerde vergi konusu olacak eşya vb.ni resmî makama bildirme | Herhangi bir konudaki görüşünü ilgililere ilan etme,Fransızca déclaré,l ince okunur
dekoratif,"Dekor olarak kullanılan, süslemeye yarayan; süsleyici",Fransızca décoratif,
dekore,"""Bir yere süsleme amacıyla düzen vermek"" anlamındaki dekore etmek birleşik fiilinde geçen bir söz",Fransızca décoré,
deli,"Aklını yitirmiş olan, akli dengesi bozulmuş olan | Coşkun, azgın (hayvan, duygu vb.) | Davranışları aşırı ve taşkın olan (kimse); çatlak",,
delicoş,"Hareketlerinde ve sözlerinde ölçülü olmayan, kabına sığmayan, çok coşkulu | Hızlı, birdenbire ve sert bir biçimde hareket eden",,de’licoş
delikanlıca,Delikanlıya yakışır | (delikanlı'ca) Delikanlıya yakışır bir biçimde,,
deliksiz,Deliği olmayan,,
delik deşik,Her yanı deliklerle dolu,,
delilli,Delili olan,,
delilsiz,Delili olmayan,,
delişmen,Sözleri ve davranışları ölçüsüz olan | Davranışları daha çok keyif ve isteğine bağlı olan,,
delişmence,Delişmene yakışır biçimde | Delişmene yakışan,,delişme'nce
deli alacası,Birbirini tutmayan parlak renklerden oluşan,,
deli balta,"Acımasız, gaddar, zalim olan (kimse)",,
deli bozuk,"Günü gününe, sözü sözüne uymayan, dengesiz (kimse)",,
deli divane,"Çılgın, aşırı deli (kimse)",,
deli dolu,"İlerisini gerisini düşünmeden davranan, rastgele konuşan, patavatsız (kimse); uçuk (I), uçuk kaçık | Çok hareketli, aktif, enerjik olan | İlerisini gerisini düşünmeden, rastgele, patavatsız bir biçimde",,
deli fişek,Delişmen ve atak (kimse),,
demagojik,Laf cambazlığı ile ilgili,Fransızca démagogique,
demarke,"Sıyrılmış, boşta kalmış [spor]",Fransızca demarké,
demetli,Demet biçiminde olan,,
demevi,"Öfkeli, sinirli olan",Arapça demevī,demevi:
deminki,"Biraz önce adı geçen, biraz önce olan, biraz önce yapılan",,de'minki
demirli,İçinde metal veya karışım durumunda demir bulunan | Demir parmaklık veya demir bir parça takılmış olan | Bağlanıp kalmış | Demir atmış (gemi) [denizcilik] | Demir atmış bir biçimde,,
demirsi,"Demiri andıran, demire benzeyen, demir gibi; demirimsi",,
demirsiz,"Demiri bulunmayan, içinde demir olmayan",,
demir bilek,Güçlü kuvvetli (kimse),,
demkeş,"Dem çeken, güzel ses çıkaran (güvercin)",Farsça demkeş,
demli,"Çok demlenmiş, koyu (çay)",,
demode,Modası geçmiş olan,Fransızca démodé,
demokrat,Demokrasi yanlısı,Fransızca démocrate,
demokratik,Demokrasiye uygun,Fransızca démocratique,
demoralize,Morali bozulmuş,Fransızca démoralisé,
denetimli,Denetlenmiş olan,,
denetimsiz,Denetlenmiş olmayan,,
deneyci,"Deneycilik yanlısı olan; görgücü, ampirist [felsefe]",,
deneyimli,"Deneyim kazanmış olan; dünya görmüş, tecrübeli, anaç",,
deneyimsiz,Deneyimi olmayan; tecrübesiz,,
deneyli,Deneye başvurulan | Deneye başvurularak,,
deneysel,"Deneye başvurularak yapılan, deneyle olan, deneyle ilgili; tecrübi, ampirik",,
deneyselci,Deneyselcilik öğretisini benimseyen; eksperimantalist [felsefe],,
deneysiz,Deneye başvurulmayan | Deneye başvurulmadan,,
deneyüstücü,Deneyüstücülük yanlısı; transandantalist [felsefe],,
dengeci,Denge ögesini ön planda tutan,,
dengeli,"Dengesi olan; kararlı, muvazeneli, stabil | Kurallara uygun, sıkıntı yaratmayan | Tutum ve davranışlarında uyum olan (kimse); stabil",,
dengesiz,"Dengesi olmayan; kararsız, muvazenesiz | Tutum ve davranışlarında uyum olmayan (kimse)",,
deni,"Alçak, kötü, kişiliksiz (kimse)",Arapça denī,deni:
denizaşırı,Denizlerin ötesinde bulunan | Deniz ötesine yapılan,,deni'zaşırı
deniz altı,Deniz altında bulunan | Deniz altında yapılan | Dalgalara karşı açık,,
denktaş,"Denk, eşit olan",,
denli,"Ağırbaşlı, sözleri ve davranışları ölçülü olan (kimse)",,
densiz,Yakışıksız ve saygısızca davranan (kimse),,
densizce,Densize yaraşır | (densi'zce) Densize yaraşır bir biçimde,,
denyo,"Günü gününe, sözü sözüne uymayan, dengesiz (kimse)",Çingenece denilo'dan,
depderin,Çok derin,,de'pderin
deplase,"""Yerini değiştirmek"" anlamındaki deplase etmek, ""yeri değişmek."" anlamındaki deplase olmak birleşik fiillerinde geçen bir söz",Fransızca deplasé,l ince okunur
depozitolu,Depozitosu olan,,
depozitosuz,Depozitosu olmayan,,
depremsiz,Deprem görülmeyen (bölge),,
depresif,Ruhsal çöküntü içinde bulunan [ruh bilimi],Fransızca dépressif,
derbeder,Yaşayışı ve davranışı düzensiz (kimse),Farsça derbeder,
dereceli,"Derecesi olan | Derecelere ayrılmış, kademeli olan",,
derecesiz,Derecesi olmayan | Çok fazla,,
derece derece,"Farklı düzeylerde olan | Kademeli olarak, dereceli biçimde; kademe kademe, tedricen",,
derili,Derisi olan | Deri ile kaplanmış olan,,
derimsi,"Deriye benzeyen, deriyi andıran",,
derince,Biraz derin,,
derinlikli,Derinliği olan,,
derinliksiz,Derinliği olmayan,,
derin bakışlı,Derin bakışı olan,,
derin derin,Uzun bir biçimde | Anlamlı olan,,
derişik,"Derişmiş olan; mütemerkiz, mütekâsif, konsantre, seyreltik karşıtı [kimya]",,
deri altı,Derinin altında bulunan [anatomi],,
derli toplu,"Dağınık olmayan, düzen verilmiş | Düzenli bir biçimde",,
dermatolojik,Dermatoloji ile ilgili [tıp],Fransızca dermatologique,l ince okunur
dermeyan,"Ortada, ortaya konmuş",Farsça dermiyān,
derme çatma,"Gelişigüzel toplanmış, aralarında uygunluk bulunmayan | Değersiz gereçlerle özensiz olarak yapılmış",,
derneşik,"Derli toplu, düzenli olan",,
dersiz topsuz,"Düzensiz, karmakarışık olan | Düzensiz, karmakarışık bir biçimde",,
derslikli,Dersliği olan,,
ders dışı,Ders saati ve konusu dışında olan,,
ders içi,Ders saati ve konusu içinde olan,,
dertli,Derdi olan; yaralı,,
dertop,"Büzülmüş, toplanmış olan | Büzülmüş, toplanmış, bir araya getirilmiş biçimde",,
dertsiz,Derdi olmayan,,
dert sahibi,"Üzüntüsü, sorunu olan | Hasta olan, bir hastalığı bulunan",,
deruni,İçle ilgili,Farsça derūn + Arapça -ī,deru:ni:
deryadil,"Her şeyi hoş gören, çok sabırlı",Farsça deryā + dil,derya:dil
desenli,Üzerinde desen bulunan,,
desensiz,Üzerinde desen bulunmayan,,
desilitrelik,Belli bir desilitre hacminde olan,,
desimetrelik,Belli bir desimetre uzunluğunda olan,,
despotça,Despota yakışır; despotik | (despo'tça) Despota yakışır bir biçimde; despotik,,
destanlı,"Destanı olan, içinde destan bulunan",,
destanlık,Destan olabilecek nitelikte olan,,
destansal,"Destanla ilgili, destana özgü | Destan kahramanına benzer",,
destansı,"Destan niteliğinde olan, destana benzeyen, destan gibi; destanımsı, destani, epik, lejander [edebiyat]",,
destansız,"Destanı olmayan, içinde destan bulunmayan",,
destarlı,Sarığı olan; sarıklı,,
destekli,"Desteği olan | Desteklenmiş, destek konulmuş",,
desteksiz,"Desteği olmayan, desteklenmemiş",,
desturlu,İzni olan,,
destursuz,İzni olmayan | İzinsiz bir biçimde,,
deşifre,"Çözülmüş, açıklanmış",Fransızca déchiffré,
deşik,Deşilmiş olan,,
detone,Kusurlu olan [müzik],Fransızca détonné,
devalüe,"""Değerini düşürmek"" anlamındaki devalüe etmek, ""değeri düşürülmek"" anlamındaki devalüe olmak birleşik fiillerinde geçen bir söz",Fransızca dévalué,
devamlı,"Sürekli, bitmeyen, kesintiye uğramayan | Okuluna düzenli bir biçimde devam eden | Sürekli, bitmeyen, kesintiye uğramayan bir biçimde",,
devamsız,Okuluna düzenli bir biçimde devam etmeyen | Uygunsuz davranışlarda bulunan,,
devasa,"Dev gibi, çok büyük",Farsça dīvāsā,de'va:sa:
devasız,"İyileştirilemeyen, ilacı bulunamayan",,
devce,Dev gibi | (de'vce) Deve benzer bir biçimde,,
deve dişi,"İri taneli (nar, mısır vb.)",,
deve döşlü,Karnı içeriye çekik (at),,
deve tımarı,"Özensiz, üstünkörü yapılan",,
deve yürekli,Çok korkak (kimse),,
devimsel,"Devinim durumunda olan; hareki | Devinimi yalnızca fizik kanunlarına bağlı olmayan, aynı zamanda etkin bir gücü, bir amacı da içeren; dinamik [felsefe]",,
devinimli,Devinimi olan; devimli | Devinimli olarak; devimli,,
devinimsiz,Devinimi olmayan; devimsiz | Devinimi olmadan; devimsiz,,
devirli,Eşit zaman aralıkları ile ardışık olarak tekrarlanan (hareket); devrî [fizik],,
devitken,Herhangi bir hareketi sağlayan; muharrik,,
devletçi,Devletçilik yanlısı | Devletçiliğe uygun olan,,
devletler arası,Birden çok devleti kapsayan veya birçok devletle ilgili olan,,
devlet düşkünü,Bolluk ve mutluluk içindeyken sonradan fakir düşmüş (kimse),,
devrik,"Katlanıp kendi üzerine bükülmüş | Devrilmiş olan | Yatırılmış, yıkılmış, dik durumunu yitirmiş | Darbe ile makamından indirilmiş",,
devrisi,"Bir sonraki, ertesi (gün, hafta, ay, yıl)",,
devrî,Devirle ilgili; çevrimsel,Arapça devrī,devri:
devşirimli,Düzenli olarak derlenmiş,,
devşirimsiz,Düzenli olarak derlenmemiş,,
devşirmeci,"Devşiren, toplayan, bir araya getiren",,
deyyus,"Karısının veya kendisine çok yakın bir kadının iffetsizliğine göz yuman (kimse) | (de'yyus) “Ahlaksız, terbiyesiz, namussuz (kimse)” anlamında kullanılan bir hakaret sözü",Arapça deyyūs̱,
dezenfekte,Hastalık yapma özelliği olan mikroorganizmalardan temizlenmiş olan,Fransızca désinfecté,
dığdığı,"Konuşurken ""r"" leri ""ğ"" gibi söyleyen (kimse)",,
dımdızlak,"Saçı dökülmüş (kimse) | Elindeki her şeyini, imkânlarını yitirmiş",,dı'mdızlak
dırdırcı,"Bezdirici söz etme alışkanlığı olan, geveze, yerli yersiz konuşan (kimse)",,
dışa dönük,"Dışla ilişkisi olan | Çevresiyle iletişim kurmada güçlük çekmeyen, bulunduğu ortama kolayca uyum sağlayabilen, sosyal ilişkileri güçlü (kimse) [ruh bilimi]",,
dışa vurumcu,"Eserlerinde hikâye etmeye, tahkiyeye ağırlık veren yazar; anlatımcı, dış vurumcu, ekspresyonist [edebiyat]",,
dışbeslenen,Besinini organik maddelerden sağlayan; heterotrof [biyoloji],,dı'şbeslenen
dışbükey,"Yüzeyi tümsek, çıkık ve şişkin olan; tümsekli, muhaddep, konveks [matematik]",,dı'şbükey
dışınlı,"Bir şeyin, bir düşüncenin aslında ve gerçeğinde olmayıp onun dışında kalan, öze bağlı olmayıp arızi olan; öz dışı, özünlü karşıtı [felsefe]",,
dışrak,"Herkesin öğrenmesinde sakınca görülmeyen, gizli kapalı olmayan (her türlü bilgi, öğreti), içrek karşıtı [felsefe]",,
dışrakçı,Ele alınan konuyu dışarıdan kavramaya çalışan,,
dışsal,"Dışla ilgili, dışa ilişkin",,
dıştan,Aslında olmayıp sonradan ve dışarının etkisiyle ortaya çıkan (düşünceler) [felsefe],,
dış kutsal,"Kutsallıkla ilgisi bulunmayan, kutsallığa ne uygun ne de karşıt olan [felsefe]",,
dış merkezli,Dış merkezlikle ilgili olan; eksantrik [matematik],,
dızman,"İri yapılı, uzun boylu, şişman olan",,
didingen,Çok gayret eden,,
didişken,Didişmekten hoşlanan,,
didon sakallı,Yalnız çenesinde sivri sakalı olan; didona sakallı,,
difterili,Difteriye yakalanmış olan,,
dik,"Yatay bir düzleme göre yer çekimi doğrultusunda bulunan, eğik olmayan | Yatık durmayan, sert olan | Sert, kalın, tok (ses) | Sert olan (bakış) | Ters, aksi olan (söz) | Kaba, yersiz olan (davranış) | Birbirine dikey olan doğrulardan oluşmuş [matematik]",,
dikbaşlı,"İnatçı, bildiğinden dönmeyen, başkasına boyun eğmeyen (kimse); dikkafalı",,di'kbaşlı
dikdörtgensel,"Dikdörtgen benzeri, dikdörtgen gibi",,
dikencikli,Ucu sivri olan | Küçük dikenleri olan,,
dikenli,"Dikenli olan | Dikeni olan bitkilerin bulunduğu (yer) | Zor, çetin, sıkıntı veya üzüntü veren",,
dikenlice,Biraz dikenli,,
dikensi,"Dikene benzer, dikeni andıran, diken gibi; dikenimsi",,
dikensiz,"Dikeni olmayan | Sıkıntısız, üzüntüsüz bir biçimde",,
diken diken,"Dikeni bol | Dik duruma gelmiş, dikleşmiş",,
dikey,Başka bir doğru ile kesiştiğinde onunla birlikte dik açı oluşturan (doğru çizgi); amudi [matematik] | Dik olarak,,
dikgen,Birbiriyle veya kesim noktasındaki teğetleriyle dik açı yapacak biçimde kesişen [matematik],,di'kgen
dikili,Dikilmiş olan,,
dikişli,"Dikişi olan, dikiş yapılmış",,
dikişsiz,Dikişi olmayan | Yapıştırma yoluyla yapılmış,,
dikkatli,"Dikkat eden, özen gösteren (kimse) | Dikkat ederek",,
dikkatsiz,İşinde dikkatli davranmayan; savruk,,
diktacı,Yönetimde dikta yanlısı olan,,
diktatoryal,"Diktatörlükle ilgili, diktatörlüğe ait | Zorbaca yapılan",Fransızca dictatorial,
diktatörce,"Diktatöre yakışır | (diktatö'rce) Diktatöre yakışır bir biçimde, diktatör olarak",,
dik duruşlu,"Vücudu düzgün yapılı olan | Düşüncesinden, söylediğinden, yaptığından vazgeçmeyen",,
dilbaz,"Güzel söz söyleyen, konuşmasıyla ikna eden",Türkçe dil + Farsça -bāz,
dile kolay,Anlatılması kolay ancak yapılması veya katlanılması çok güç,,
dili bağlı,"Konuşamayan | Kendisine söylenen bir şeyi başkasına aktarmayan, sır saklayan",,
dili bozuk,Bir dili doğru ve düzgün konuşamayan (kimse) | Küfürlü sözler söyleyen,,
dili tutuk,"Serbestçe, kolaylıkla konuşamayan (kimse)",,
dili uzun,"İncitici sözler söyleyen, küstah, saygısız (kimse)",,
dili yatkın,Yabancı bir dili kolaylıkla öğrenme yeteneği olan,,
dili zifir,Gönül kırıcı sözler söyleyen (kimse),,
dillere destan,Anlatıla anlatıla bitirilemeyen,,
dilli,"Dili olan | Konuşkan, sürekli ve tatlı konuşan | Dedikoducu, ileri geri konuşan",,
dilsel,Dille ilgili,,
dilsever,"Ana dilini öne çıkaran, dil bilinci olan (kimse) | Yeni bir dil öğrenmeye meraklı olan (kimse)",,di'lsever
dilsi,"Dili andıran, dile benzeyen, dil gibi",,
dilsiz,"Konuşma engeli olan, konuşamayan; ahraz | Ses çıkarmayan, sessiz olan (kimse)",,
dil bilgisel,Dil bilgisiyle ilgili | Dil bilgisi kurallarına uygun olan,,
dil bilimsel,Dil bilimiyle ilgili; filolojik,,
dimdik,"Çok dik; mum direk | Sıkıntıları karşılayacak durumda olan, baş eğmeyen | Çok dik bir biçimde | Kaskatı, çok sertleşmiş olarak | Dikkatli, ısrarlı bir biçimde | Dikkatli, ısrarlı (bakış)",,di'mdik
dinç,"Gücü ve sağlık durumu yerinde; tendürüst, tüvana | Canlı, zinde bir biçimde",,
dindar,"Din inancı güçlü, din kurallarına bağlı, dinin emirlerini yerine getiren (kimse); mütedeyyin [din bilimi]",Arapça dīn + Farsça -dār,
dingildek,Tabanı üzerinde hareketsiz duramayıp sallanan | Dengesi bozuk | Sözüne güvenilmez,,
dingilli,Dingili olan,,
dingilsiz,Dingili olmayan,,
dingin,"Sakin, durgun olan | Hareket etmeyen, kımıldamayan | Gücü tükenmiş, yorgun, mecalsiz olan",,
dinginci,Dingincilik görüşünü benimseyen; sekinci [felsefe],,
dini bütün,"Dinine çok bağlı, inancı sağlam olan, dinin buyruklarını eksiksiz yerine getiren [din bilimi]",,
dinli,Dinî inancı olan,,
dinsiz,Dinî inancı olmayan | Acımasız olan,,
dinî,"Dinle ilgili, din üzerine; dinsel",Arapça dīnī,di:ni:
din dışı,Dinle ilişiği olmayan; ladinî [din bilimi],,
dipçikli,Dipçiği olan (tüfek),,
dipdinç,"Çok sağlıklı, çok canlı",,di'pdinç
dipdiri,"Çok diri, çok canlı",,di'pdiri
dipli,Dibi olan,,
diplomalı,Diploması olan | Yetkisi diploma ile belgelenmiş,,
diplomasız,"Diploması olmayan | Diploması olması gereken bir meslekte, diploması olmadan çalışan",,
diplomatça,"Diplomata yakışan | (diploma'tça, l ince okunur) Diplomata yakışır bir biçimde, diplomat gibi | (diploma'tça, l ince okunur) Kurnazlıkla, açıkgözlülükle",,
diplomatik,Diplomasi ile ilgili,Fransızca diplomatique,
dipsiz,Dibi olmayan,,
dipsiz doruksuz,Abartılı olan,,
dipsiz kuyu,Sonuç alınmayan | Sonu gelmeyen,,
dipsiz testi,"Eline geçen para veya malı hesapsızca, boş yere harcayan",,
dirayetli,Dirayeti olan,,
dirayetsiz,Dirayeti olmayan,,
direkli,Direği olan,,
direklik,Direk yapmaya elverişli (ağaç),,
direksiz,Direği olmayan,,
direkt,"Doğru olarak, hiçbir yerde durmadan",Fransızca direct,
dirençli,Direnci olan,,
dirençsiz,Direnci olmayan,,
diretken,"Diretme özelliği olan, direten (kimse)",,
diri,"Güçlü olan; zinde | Solmamış, pörsümemiş | Gereği kadar pişmemiş",,
dirice,Biraz diri,,
diriksel,"Diri ile, canlı ile ilgili, canlılar üzerinde olan; diril (I) [biyoloji]",,
dirimli,Hayatı olan (canlı),,
dirimselci,Dirimselcilik öğretisini benimseyen [felsefe],,
diri diri,"Canlı canlı, taptaze olan | Canlı olarak",,
dirliksiz,Dirliği olmayan,,
disipline,"""Sıkı düzen ve denetim altına alınmak, zapturapt altına alınmak, denetim altında tutulmak"" anlamlarında disipline edilmek, ""sıkı düzen ve denetim altına almak, zapturapt altına almak"" anlamlarında disipline etmek, ""kendi kendine veya dış etkilerle düzen ve denetim altına girmek"" anlamında disipline olmak birleşik fiillerinde geçen bir söz",Fransızca discipliné,
disiplinli,Disiplini olan,,
disiplinsiz,Disiplini olmayan,,
diskalifiye,Yarış dışı bırakılmış,Fransızca disqualifié,
dişi,"Yumurta oluşturan veya yavru doğuran (birey) [anatomi] | Erkeği tarafından döllenecek biçimde oluşmuş (hayvan veya bitki) | Girintili ve çıkıntılı olarak bir çift oluşturan nesnelerden girintili olan | Yumuşak, kolay işlenen (maden) | Verimli, doğurgan olan | Şuh, işveli, çekici olan",,
dişil,Cinsiyet kategorisinin söz konusu olduğu dillerde dişi cinsten sayılan (kelime); müennes [dil bilgisi],,
dişisel,Şuh olan,,
dişlek,"Dişleri dışarıya doğru çıkık olan (kimse) | Sözünü geçiren, istediğini yaptırabilen (kimse)",,
dişli tırnaklı,Saldırgan olan,,
dişsiz,Dişi olmayan,,
diş diş,Çıkıntıları olan | Çıkıntılı bir biçimde,,
divane,"Deli, kaçık, budala olan | Bir şeye çok düşkün olan",Farsça dīvāne,di:va:ne
diyabetik,Şeker hastalığı ile ilgili [tıp],Fransızca diabétique,
diyetli,İçinde diyet bulunan,,
diyetsiz,İçinde diyet bulunmayan,,
dizanterili,Dizanteriye yakalanmış olan (kimse),,
dizeli,Dizesi olan,,
dizelik,Dizeden oluşan,,
dizginsiz,"Dizgini olmayan | Aşırı, ölçüsüz olan",,
dizili,"Dizilmiş olan, sıralanmış; mürettep",,
dizimli,Dizilmiş olan,,
dizim dizim,Peş peşe dizilmiş; düzüm düzüm,,
dizi dizi,"Peş peşe dizilmiş | Dizilerek, diziler durumunda; dizim dizim, koşun koşun",,
diz boyu,Dize kadar olan | Çok miktarda,,
diz üstü,"Boyu dizlerin üst kısmına gelen (etek, pantolon, çorap vb.) | Dizleri yere gelecek biçimde",,
dobra,"Anlaşılır | İyi, güzel olan",Bulgarca,do'bra
dogmacı,Dogmacılık yanlısı olan; inakçı,,
doğacı,Doğacılık yanlısı olan; natürist,,
doğal,"Doğada olan, doğada bulunan | Doğada rastlandığı gibi, doğaya uygun olan, doğa güçlerine, kurallarına uyan; tabii, natürel | Kendiliğinden olan, insan eliyle yapılmamış, yapay karşıtı | Yapmacık olmayan | Olağan, alışılmış, her zamanki gibi olan, beklenildiği gibi | Sağduyuya, mantığa, olağan düzene uygun olan",,
doğalcı,"Doğalcılık yanlısı olan; tabiiyeci, tabiiyun, natüralist",,
doğasever,Doğanın kirlenmesine ve tahrip edilmesine karşı çıkan (kimse),,doğa'sever
doğaüstü,"Doğa kanunlarına uymayan, doğa kanunlarıyla açıklanamayan; tabiatüstü",,doğa'üstü
doğaüstücü,"Doğaüstücülük yanlısı; tabiatüstücü, sürnatüralist [felsefe]",,
doğa dışı,"Doğaya aykırı, tabiata aykırı; gayritabii",,
doğruca,"Doğruya yakın | (do'ğruca) Hiçbir yöne sapmadan, dolaylı olmayarak, dolaşmayarak",,
doğrucu,Her şeyin doğrusunu söylemeyi huy edinmiş olan; harbici,,
doğrudan,"Aracısız olarak, herhangi bir aracı kullanmadan; elden, vasıtasız",,
doğrulu,Bir doğru boyunca olan; müstakim [matematik],,
doğrusal,Çizgiyle ilgili olan; çizgisel | Bir doğruyu izleyen | Aynı doğruya ait olan; lineer [matematik] | Grafiği bir doğru ile gösterilebilen; lineer [matematik],,
doğrusuz,Doğrusu olmayan,,
doğru dürüst,"Kusursuz, yanlışsız olan | Tam olarak, eksiksiz olarak, istenildiği gibi, kusursuz, yanlışsız bir biçimde",,
doğru orantılı,Birbirine bağlı olan ve biri arttığında öteki de artan [matematik],,
Doğulu,Doğu ülkelerinden olan (kimse); Şarklı | Türkiye'nin doğusunda bulunan illerden olan (kimse); Şarklı | Doğu uygarlığını benimsemiş (kimse); Şarklı,,
doğumlu,... yılında doğmuş; tevellütlü,,
doğumsal,"Doğumdan, soydan gelen",,
doğurgan,Çok doğuran | Verimli olan | Çok eser veren; velut,,
doğurucu,Yeni düşünceleri ortaya koyan (kimse); üretken,,
doğuştan,"Kişinin doğduğu andan beri var olan, doğuşla birlikte gelen; fıtri [felsefe]",,
doksanar,"Doksan sıfatının üleştirme sayı sıfatı | Her birine doksan, her defasında doksanı bir arada olan",,
doksanarlı,Doksanar doksanar sıralanmış | Her biri doksan birimden oluşan,,
doksanıncı,"Doksanın sıra sıfatı, sırada seksen dokuzuncudan sonra gelen",,
doksanlı,"Doksan parçası bulunan, doksan parçadan oluşan | İçinde doksan tane aynı nesneden bulunan | Doksan ile yüz arasında olan",,
doksanlık,Doksan tanesi bir arada olan veya içinde aynı şeyden doksan tane | Doksan yaş dolaylarında olan veya görünen (kimse),,
doktoralı,Doktorası olan,,
doktorasız,Doktorası olmayan,,
dokulu,Dokusu olan,,
dokumalı,Dokuması olan | Dokunmuş,,
dokunaklı,"Etkili, insanın içine işleyen; yakıcı (I), müessir",,
dokunmalı,"Ekranına parmak veya özel kalemle dokunularak kullanılan (televizyon, bilgisayar, cep telefonu vb.)",,
dokunmasız,"Dokunmadan, ele alınmadan kullanılabilen",,
dokunmatik,343 dokunmalı,,
dokunsal,Dokunum ile ilgili olan [biyoloji],,
dokunulmaz,"İlişilmez, el sürülmez, taarruzdan korunmuş | Hiçbir biçimde eleştirilemez",,
dokusuz,Dokusu olmayan,,
dokuzar,"Dokuz sayısının üleştirme sayı sıfatı | Her birine dokuz, her defasında dokuzu bir arada olan",,
dokuzarlı,Dokuzar dokuzar sıralanmış | Her biri dokuz birimden oluşan,,
dokuzluk,"Dokuzu bir arada, dokuz taneden oluşmuş, dokuz tane alabilen",,
dokuzuncu,"Dokuz sayısının sıra sıfatı, sırada sekizinciden sonra gelen",,
dokuz babalı,"“Babası belli olmayan, birçok erkekle düşüp kalkan bir anadan doğan (kimse)” anlamında kullanılan bir hakaret sözü",,
dokuz canlı,"Kolay kolay ölmeyen | Çok sağlıklı, herhangi bir hastalığı olmayan",,
dolaksız,"Dolağı olmayan, büzgüsü bulunmayan",,
dolambaçlı,"Dolambacı olan | İçinden zor çıkılır, çapraşık olan; lamelif",,
dolambaçsız,"Dolambacı olmayan | Açık, doğrudan doğruya olan",,
dolanık,Birbirine dolanmış,,
dolaplı,"Dolabı olan | Dolaplanmış (deri, dokuma, metal, taş, halı vb.)",,
dolapsız,"Dolabı olmayan | Dolaplanmamış (deri, dokuma, metal, taş, halı vb.)",,
dolaşık,"Karışık olan (saç, ip vb.) | Dolaşarak giden (yol) | Kolay çözülmeyecek veya içinden çıkılmayacak derecede karışık | Amacını doğrudan doğruya değil de dolayısıyla sezdiren",,
dolaşıksız,Dolaşık olmayan,,
dolayı,"Çevrede, etrafta bulunan",,
dolaylı,"Doğrudan doğruya olmayan, dolayısıyla olan; vasıtalı, bilvasıta, endirekt",,
dolaysız,"Doğrudan doğruya olan; vasıtasız, bilavasıta | Araya herhangi bir araç girmeden",,
dolay kutupsal,Kutup yakınında olan [gök bilimi],,
dolgulu,"İçinde dolgu maddesi olan, doldurulmuş",,
dolgun,"Dolarak biçimi yuvarlaklaşmış | Çok, bol, fazla, yüksek olan (ücret, para vb.) | Şişmiş | Öfke, kızgınlık, kırgınlık vb. duygularla dolu",,
dolgunca,Biraz şişman,,
dolmalık,Dolma yapmaya yarar,,
dolusu,Dolduracak kadar,,
domine,"“Baskın duruma gelmek, hükmetmek” anlamlarındaki domine etmek birleşik fiilinde geçen bir söz",Fransızca domine,
donanımlı,"Belli bir donanıma sahip olan (araç vb.) | Herhangi bir konuda eğitimi, bilgisi, becerisi çok olan",,
donanımsız,"Belli bir donanıma sahip olmayan (araç vb.) | Herhangi bir konuda eğitimi, bilgisi, becerisi olmayan",,
donanmasız,Donanması olmayan | Donanması olmadan,,
donatılı,Donatısı olan,,
donatısız,Donatısı olmayan,,
dondurucu,Donduran,,
dondurulmuş,Soğutucu aracılığıyla buzlu duruma getirilmiş | Beklemeye alınmış | Değiştirilemez durumda tutulmuş,,
donlu,Donu olan,,
donsuz,Don giymemiş olan | Yoksul olan | Serseri olan,,
donuk,"Donmuş olan | Canlılığı olmayan, fersiz (göz) | Canlılığı az olan, durgun, uyuşuk (kimse)",,
dopdolu,Büsbütün dolu,,do'pdolu
doruklu,Doruğu belli bir biçimde olan,,
doruksuz,Doruğu olmayan,,
dosdoğru,"Çok doğru | Sağa sola sapmadan; dimdik | Doğru, yalansız biçimde",,do'sdoğru
dostça,"Dosta yakışır, dost gibi | (do'stça) Dosta yakışır bir biçimde; dostane",,
dostsuz,Dostu olmayan | Dostu olmadan,,
dost canlısı,Arkadaş canlısı,,
doygun,"Her türlü gereksinimini gidermiş, tatmin olmuş; müstağni | Elinde olanla yetinen; müstağni",,
doymaz,Açgözlü,,
doymuş,"Bir şey yiyerek tok duruma gelmiş | İsteği kalmamış, isteği giderilmiş, tatmin olmuş | Doyma durumuna gelmiş (gaz, sıvı veya elektromıknatıs); meşbu [kimya]",,
doyumlu,"Doymuş, doyumu olan",,
