madde,anlam,lisan,telaffuz
bela okumak,birine ilenmek,,
bela olmak,"aşırı güçlük, sıkıntı ve zarara sebep olmak",,
bela (veya belasını) aramak,kavga çıkarmak için fırsat kollamak,,
belden aşağı vurmak,"iş hayatında, insan ilişkilerinde, siyasette kural dışı saldırmak",,
belediyelik olmak,belediye ile ilgili bir işi olmak | belediye olma hakkını kazanmak,,
beleşe konmak,"bir şeyi emek harcamadan, para vermeden elde etmek",,
belge almak,başarısızlık yüzünden öğretim kurumuyla ilişiği kesilmek,,
belinden gelmek,birinin dölü olmak,,
belini bükmek,çaresizlik içinde bırakmak,,
belini doğrultmak,yeniden durumunu düzeltmek,,
belini kırmak,birini bir şeyi yapamaz duruma getirmek,,
belini vermek,"dayanmak, yaslanmak",,
beli açılmak,küçük abdestini tutamaz olmak,,
beli bükülmek,"yaşlılık yüzünden güçsüz kalmak, bir iş yapamayacak duruma düşmek | yoksulluk vb. sebeplerle âciz kalmak",,
beli çökmek,kamburlaşmak,,
beli gelmek,cinsel birleşme sırasında salgı boşalmak,,
belleğini yitirmek,bellek kaybına uğramak,,
belli etmek,"açıklamak, iyice görünür ve anlaşılır bir duruma getirmek | sezdirmek, hissettirmek",,
belli olmak,"anlaşılmak, açıklanmak",,
belsoğukluğuna uğratmak,bir işe veya bir söze gereksiz yere karışarak onun akışını sektirmek,,
bel bağlamak,"birisinin kendisine yardımcı olacağına inanmak, güvenmek",,
bel bellemek,toprağı belle kazmak,,
bel etmek,"işaret koymak, işaret vermek",,
bel kırmak,"eğilerek saygı göstermek | kırıtmak, salınmak",,
bel vermek,duvar gibi dik şeyler dışarıya veya tavan gibi yatay şeyler aşağıya doğru kamburlaşmak | herhangi bir konuda destek olmak,,
bencillik etmek,bencil davranmak,,
bencil olmak,bencilce davranışta bulunmak,,
benliğinden çıkmak,kendine benzemez olmak,,
benliği yoğurmak,kişiliği oluşturmak,,
bent etmek,kendisine bağlamak,,
bent olmak,"bağlanmak, tutulmak",,
benzinde kan kalmamak,kansızlık sebebiyle yüzü sararmak,,
benzine kan gelmek,"sağlıklı duruma gelmek, canlanmak",,
benzi atmak,"ansızın yüzünün rengi sararmak, solmak",,
benzi geçmek,benzi solmak,,
benzi kanlanmak,"sağlıklı duruma gelmek, canlanmak",,
benzi kül gibi olmak,"yüzünden kan çekilmek, yüzü sararmak",,
benzi sararmak,yüzünün rengi solmak,,
benzi solmak,"gücünü yitirmek, sağlık sorunu olmak",,
benzi uçmak,yüzü sararmak,,
ben düşmek,meyvelerde olgunlaşma belirtisi görünmek,,
beraat etmek,aklanmak,,
berabere bitmek,oyun veya yarışma aynı sayının alınmasıyla sonuçlanmak,,
berabere bitmek,oyun veya yarışma aynı sayının alınmasıyla sonuçlanmak,,
berabere kalmak,aynı sayıyı almak | başa baş gelmek,,
berabere kalmak,aynı sayıyı almak,,
berbat olmak,kötü duruma gelmek | kirlenmek | bozulmak,,
berhava etmek,"havaya uçurmak | bitirmek, yok etmek",,
berhava olmak,patlama yolu ile havaya uçmak | boşa gitmek,,
berhayat olmak,"yaşamak, hayatta olmak",,
bertaraf etmek,ortadan kaldırmak,,
bertaraf olmak,"ortadan kalkmak, yok edilmek",,
besiye çekmek,hayvanı semirtmek için beslemek,,
beslemelik etmek,birinin yanında besleme olarak bulunmak,,
besmele çekmek,"bir işe başlarken ""bismillahirrahmanirrahim"" cümlesini söylemek",,
beşiğini sallamak,"çocukluğundan veya çok eskiden beri tanımak, büyümesine hizmet etmek",,
beşiklik etmek,beşiklik görevini yapmak | bir şeyin doğup gelişmesine imkân vermek,,
beşlik simit gibi kurulmak,kendini bir şey sanarak bir yere yayılıp oturmak,,
beş paralık etmek,"zor durumda bırakmak, dile düşürmek, rezil etmek",,
beş paralık olmak,"zor durumda kalmak, dile düşmek, rezil olmak",,
beş parasız kalmak,harcayacak parası olmamak,,
beş para almamak,hiç para almamak,,
beş para etmemek,hiçbir değeri olmamak,,
beter etmek,daha kötü duruma getirmek,,
beti benzi kalmamak,yüzü sararıp solmak,,
beyan etmek,"bildirmek, söylemek, ileri sürmek, anlatmak",,
beyaza çekmek,yazıyı temize çekmek,,
beyaz sayfa açmak,bir konuda geçmişi unutarak geleceğe umutla bakmak,,
beyin yıkamak,"insanı, kendine özgü düşünce ve dünya görüşüne yabancılaştırmak, başka yönde düşünür ve davranır duruma getirmek amacıyla çeşitli yollarla etkilemek [ruh bilimi]",,
beyninden vurulmuşa dönmek,beklenmedik bir durum karşısında olağanüstü bir üzüntü ve şaşkınlığa uğramak,,
beyninde seyyale dolaşmak,aynı anda birden fazla şey düşünmek,,
beyninde şimşekler çakmak,"çok üzülmek, sarsılmak | zihninde birden bir düşünce doğmak",,
beynine girmek,"herhangi bir konuda birisini yönlendirmek, ikna etmek",,
beynine vurmak,"içki, uyuşturucu, öfke vb. etkisiyle ne yaptığını bilemez duruma gelmek",,
beynini dağıtmak,öldürmek,,
beynini kemirmek,"rahatsızlık vermek, huzurunu kaçırmak",,
beynini kurcalamak,aklı sürekli bir konu üzerinde takılıp kalmak,,
beynini uyuşturmak,düşünemez hâle getirmek,,
beynini yormak,aşırı çaba göstererek düşünmek,,
beyni allak bullak olmak,"iyi düşünemez olmak, zihni karışmak",,
beyni atmak,tepesi atmak,,
beyni bulanmak,"sersemlemek, düşünemez olmak | kötü bir şey sezinlemek",,
beyni durmak,"hiçbir şey düşünememek, donup kalmak",,
beyni karıncalanmak,zihin yorgunluğundan düşünemez olmak,,
beyni kaynamak,"aşırı sıcaktan sersemlemek, bunalmak",,
beyni sıçramak,aklı başından gitmek,,
beyni sulanmak,"düzgün düşünemez olmak, bunamak",,
beyni zonklamak,"yorgunluk, üzüntü vb. sebeplerden dolayı başı çok ağrımak",,
bey gibi yaşamak,bolluk içinde yaşamak,,
bey oturmak,"aşık çukur yüzü yere, yumru yüzü üste gelerek durmak",,
bezginlik getirmek,bezmek,,
bezini yıkamak,bebeklerin altına bağlanan bezi temizlemek | çok emek sarf etmek,,
bez bağlamak,bebeklere veya bilinç kaybına uğramış hastalara altlarını kirletmesinler diye bez koymak | dileğin yerine gelmesi ümidiyle yatıra veya ağaca bir parça çaput veya eski kumaş parçası bağlamak,,
bez çözmek,çözgü çözmek | bir aşağı bir yukarı dolaşıp durmak,,
bıcı bıcı yapmak,yıkanmak,,
bıçak altına yatmak,ameliyat olmak,,
bıçak atmak,bir hedefe bıçak fırlatmak | bıçaklamak | ameliyat etmek,,
bıçak bıçağa gelmek,bıçakla birbirine saldıracak kadar zorlu kavga etmek,,
bıçak çekmek,üzerindeki bıçağı birden eline alarak birine saplamaya hazırlanmak,,
bıçak gibi kesilmek,"söz, konuşma, sohbet birden bitmek, duruvermek",,
bıçak gibi kesmek,çok keskin olmak | birdenbire ve tamamen ortadan kaldırmak,,
bıçak gibi saplanmak,"sancı, ağrı birden ve güçlü olarak başlamak",,
bıçak kemiğe dayanmak,çekilen sıkıntı artık katlanılamayacak bir duruma gelmek,,
bıçak silmek,bir işi bitirmek,,
bıçak vurmak,bıçakla kesmek | bıçaklamak,,
bıçak yemek,bıçaklanmak,,
bıkıp usanmak,çok bezmek,,
bıkkınlık gelmek,"bıkmak, usanmak, bunalmak",,
bıkkınlık vermek,bir şeyi sürekli tekrarlayarak karşısındakini usandırmak,,
bıraktığı (veya bağladığı) yerde (veya çayırda) otlamak,uzun süredir hiçbir ilerleme veya değişim gösterememek,,
bıyığını balta kesmez olmak,kimseden korkusu olmamak,,
bıyığını silmek,bir işi olmuş bitmiş sayarak onunla uğraşmaktan vazgeçmek,,
bıyığı (veya bıyıkları) terlemek,bıyığı yeni yeni çıkmaya başlamak | delikanlılık çağına girmek,,
bıyıkları ele almak,delikanlılık çağına girmek,,
bıyık altından gülmek,birinin durumuna belli etmemeye çalışarak alay yollu gülümsemek,,
bıyık bırakmak,bıyık uzatmak,,
biat etmek,"bir hükümdarın veya ileri gelen birinin egemenliğini tanımak, kabul etmek",,
biber gibi yakmak,"deri, göz vb.ni çok acıtmak | çok üzmek, dertlendirmek",,
biber gibi yanmak,"deri, göz vb. çok acımak | çok üzülmek, dertlenmek",,
biçare olmak,çaresiz kalmak,,
biçim almak,"biçimlenmek, belli bir biçime girmek, şekillenmek",,
biçki yapmak,dikilecek kumaşı belli bir modele ve ölçüye göre kesmek,,
bigâne düşmek,yabancılaşmak,,
bigâne kalmak,kayıtsız olmak; ilgisiz kalmak,,
bildiğini okumak,"herkes ne derse desin bildiği, istediği gibi davranmak",,
bildiğini yapmak,verilen öğütleri dinlemeyerek tutumunu sürdürmek,,
bildik çıkmak,birbirlerini eskiden bildiklerini veya ailece tanıştıklarını anlamak | önceden bilmek,,
bileğinde altın bileziği olmak,geçerli bir meslek sahibi olmak,,
bileğine güvenmek,gücüne veya hünerine güvenmek,,
biletini kesmek,"ölümüne karar vermek | işine son vermek, işten uzaklaştırmak, ayırmak",,
bilet kesmek,"bileti koparıp alıcıya vermek, bilet satmak | işine son vermek, işten uzaklaştırmak, ayırmak",,
bilgi edinmek,"bir durumu öğrenmek, bilgi almak",,
bilgi tazelemek,"önceden sahip olduğu bilgiyi yenilemek, güncelleştirmek",,
bilincine varmak,"anlamak, kavramak",,
biliş çıkmak,"tanımak, önceden tanış olmak",,
bilmece çözmek,bilmecenin cevabını bulmak | zor bir işi başarmak,,
bilmece gibi konuşmak,"açık, anlaşılır bir biçimde konuşmamak",,
bilmezden gelmek,bilmezlikten gelmek,,
bilmezlikten gelmek,bilmiyor görünmek,,
bina etmek,"yapmak, kurmak, inşa etmek | bir düşünce sistemine oturtmak",,
bindiği dalı kesmek,"kendisine gerekli ve yararlı olan şeyi farkında olmadan yararsız duruma getirmek, kendi eliyle yok etmek",,
bini aşmak,"çok fazla olmak, sınırı aşmak",,
bin dereden su getirmek,"birini ikna etmek için birçok sebep ileri sürmek, dil dökmek",,
bin kalıba girmek,birbirine benzeyen birçok iş yapmak | sürekli olarak fikir değiştirmek,,
bin pişman olmak,çok pişman olmak,,
bin tarakta bezi olmak,birçok işle uğraşmak,,
birbirine düşmek,"araları açılmak, aralarında anlaşmazlık çıkmak",,
birbirine girmek,"karışmak | iplik vb. dolaşmak, çözülemeyecek duruma gelmek | birçok araç bir anda çarpışmak | kavga etmek, dövüşmek",,
birbirine katmak,"aralarını açmak, aralarını bozmak, olay çıkarmak | karıştırmak",,
birbirinin ağzına girmek,birbiriyle çok yakın mesafede olmak,,
birbirinin ağzına tükürmek,"bir sorunda, bir olayda sözleşmiş gibi ağız birliği yapmak",,
birbirinin gözünü çıkarmak,aralarında birbirlerine zarar verecek derecede kıyasıya dövüşmek,,
birbirinin gözünü oymak,aralarında aşırı geçimsizlik olmak,,
birbirini çekememek,birbirini kıskanmak,,
birbirini kovalamak,ardı ardına sürekli bir şekilde gelmek,,
birbirini tutmamak,"birbiriyle ilgisi olmamak, tutarsız olmak",,
birbirini yemek,"iki veya daha çok kimse birbiriyle uğraşmak, birbirine kötülük etmek",,
birbiri için yaratılmış olmak,birbiriyle çok iyi anlaşmak,,
birbiri üstüne gelmek,"arka arkaya meydana gelmek, ara vermeden olmak",,
birebir gelmek,etkisini hemen ve kesin olarak göstermek,,
bire beş katmak,çok abartmak,,
bire bin katmak,çok abartmak,,
bire ... vermek,"buğday, arpa, nohut, fasulye vb. ürünler için toprak kullanılan tohumun belli bir katı kadar ürün vermek | şans oyunlarında verilen paradan daha fazla para kazandırmak",,
birinci elden kaynağa gitmek,"bilimsel çalışmalarda kaynakların aslına, özgününe dayanmak",,
birinci olmak,"başta gelmek, önde gelmek",,
birlikte yaşamak,"aynı evde oturmak, bir arada yaşamak",,
birlik olmak,bir işi yapmak için anlaşmak,,
bir araya gelmek,"bir yerde toplanmak, buluşmak",,
bir araya getirmek,toplamak,,
bir avuç toprak olmak,ölmek,,
bir ayağı çukurda olmak,ağır hastalık vb. sebeplerle yaşayacak çok az zamanı kalmış olmak | çok yaşlanmış olmak,,
bir ayak üstünde bin yalan söylemek,çok kısa sürede pek çok yalan söylemek,,
bir ayak üstünde kırk yalanın belini bükmek,çok kısa sürede pek çok yalan söylemek,,
bir baltaya sap olamamak,belli bir iş sahibi olamamak,,
bir bardak suda fırtına koparmak,"önemsiz, küçük bir sorunu çok büyütmek",,
bir biçimine getirmek,"çözüm yolu bulmak | sırasını, fırsatını bulmak, punduna getirmek, en uygun durumunu yakalamak",,
bir boka yaramamak,hiçbir şeye elverişli olmamak,,
bir çekirdek geri kalmamak,bütünüyle denk olmak,,
bir çift lakırtı etmek,kısa konuşmak,,
bir çift sözü olmak,söyleyecek bir şeyleri bulunmak,,
bir çuval inciri berbat etmek,"düzelmekte olan bir durumu yersiz, yanlış davranışlarla bozmak",,
bir dalda durmamak,sık sık iş veya düşünce değiştirmek,,
bir dediğini iki etmemek,her istediğini hemen yapmak,,
bir dediği bir dediğini tutmamak,"söyledikleri birbirine uymamak, tutarsız konuşmak",,
bir dediği iki olmamak,her istediği yapılmak,,
bir dikili ağacı olmamak,"hiçbir şeyi, malı mülkü olmamak",,
bir dirhem bal için bir çeki keçiboynuzu çiğnemek,"verimi az, zahmeti çok olan bir işle çok uğraşmak",,
bir düşüncedir (veya düşünce) almak,bir konuda kaygılanarak çözüm yolu bulmaya çalışmak,,
bir elini bırakıp ötekini öpmek,aşırı saygı göstermek,,
bir elle verdiğini öbür elle almak,"yapar göründüğü bir iyiliği, sağladığı bir çıkarla ödetmek",,
bir gömlek fazla eskitmiş olmak,birinden daha yaşlı ve daha görmüş geçirmiş olmak,,
bir göz gülmek,hem gülüp hem ağlamak,,
bir hizaya gelmek,düzgün sıra olmak,,
bir hoşluğu olmak,"garip veya tuhaf bir durumda olmak | üzerinde bir neşesizlik, bir hüzün görülmek",,
bir hoş eylemek,hüzünlendirmek,,
bir hoş olmak,ne yapacağını bilememek | hüzünlenmek,,
bir hâl olmak,"bir şeyin çok tekrarlanması yüzünden bitkin duruma gelmek, usanmak, bezmek, fenalık gelmek | huyu değişmek | kazaya uğramak | ölmek",,
bir iğne bir iplik olmak,iğne ipliğe dönmek,,
bir ilke imza atmak,bir konuda hiç kimsenin veya kuruluşun yapmadığı bir işi gerçekleştirmek,,
bir işaretine bakmak,bir işi yapmak için hazır beklemek,,
bir işi başından kesmek,yapılması istenmeyen bir işi baştan engellemek,,
bir iş olmak,"anlaşılmaz, bilinmeyen bir durum olmak",,
bir kafada olmak,aynı düşüncede olmak,,
bir kalem geçmek,"boş vermek, bir an için göz ardı etmek",,
bir kapıya çıkmak,aynı sonuca varmak,,
bir kaşık suda boğmak,sevmediği kişinin kötü duruma düşmesini sağlamak için elinden geleni yapmak,,
bir kazanda kaynamak,"anlaşmak, uyuşmak, bağdaşmak",,
bir kenara atılmak,"unutulmak, terk edilmek, ilgi kesilmek",,
bir kenarda durmak,gerektiği zaman kullanılmak üzere hazırda bulunmak,,
bir kıza dünür düşmek,bir kızı evlenmek üzere başkası için istemek,,
bir kolayını aramak,"bir şeyi yapmak, çözmek için gerekli kolay ve kestirme yöntemi araştırmak",,
bir kolayını bulmak,kolaylıkla yapabilmeyi sağlamak veya yapma yolunu bulmak,,
bir koyundan iki post çıkarmak,olması gerekenden daha fazla elde etmek,,
bir köşeye atılmak,"terk edilmek, ilgilenilmemek, kendi kaderine terk edilmek",,
bir köşeye atmak,gerektiğinde kullanmak için bir yere koymak,,
bir köşeye çekilmek,hiçbir işe karışmayarak yaşamak,,
bir köşeye koymak,"saklamak, biriktirmek",,
bir köşeye oturmak,"gelin olmak, evlenmek",,
bir köşeye oturmak,"gelin olmak, evlenmek",,
bir köşeye sinmek,"kimsenin görmeyeceği bir yere saklanmak, gizlenmek, sesi çıkmaz olmak",,
bir kulağından girip öbür kulağından çıkmak,söylenen söze önem vermemek,,
bir olmak,"bir araya gelmek, iş birliği yapmak",,
bir olmak,çabucak olmak,,
bir papel (veya pul) etmemek,değeri olmamak,,
bir paralık etmek,"çok utanacak, işe yaramaz bir duruma düşürmek",,
bir parmak,Kısa boylu,,
bir pula satmak,bir kimseyi bir çıkar uğruna harcamak,,
bir sıkımlık canı olmak,çok cılız ve güçsüz olmak,,
bir söylemek pir söylemek,uzatmadan gereği gibi söylemek,,
bir sözünü (veya dediğini) iki etmemek,birinin her istediğini hemen yerine getirmek,,
bir şeye benzememek,işe yarar durumda olmamak,,
bir şey anlamamak,yiyeceğin tadına varamamak | içeriğini tam olarak çözememek,,
bir şey sanmak,"aslında olmadığı hâlde bir değeri var sanmak, değerlendirmede yanılmak",,
bir şey söylemek,"konuşmak | belirtmek, anlatmak, ifade etmek",,
bir şey yapmak,birine kötülükte bulunmak,,
bir şey (veya şeyler) olmak,"huyu, durumu, tutumu değişmek, yeni huylar edinmek | hâlinde bir değişiklik hissetmek, fenalaşmak | ölmek",,
bir tarakta bezi olmamak,"sözü edilen konu ile ilgisi olmamak, bilgisi bulunmamak",,
bir taşla iki kuş vurmak,bir iş veya davranışla birden çok yararlı sonuca ulaşmak,,
bir tek atmak,bir kadeh içki içmek,,
bir tuhaflığı olmak,kendini iyi hissetmemek,,
bir tuhaf olmak,"garipleşmek, acayipleşmek | şaşırmak, ne yapacağını bilememek",,
bir yakadan baş çıkarmak,bir çatı altında dirlik düzenlik içinde yaşamak,,
bir yastığa baş koymak,evlilik hayatını mutlu bir biçimde geçirmek,,
bir yastıkta kocamak,karı koca birlikte uzun bir ömür sürmek,,
bir yaşına daha girmek,şimdiye değin görmediği şaşılacak yeni bir şeyle karşılaşmak,,
bir yiyip bin şükretmek,kötü durumda olanlara bakarak kendi durumunun değerini bilmek,,
bir yolunu bulmak,"çare bulmak, çözüm üretmek",,
bir yol tutturmak,"bir davranış, bir tutum biçimi belirlemek",,
bismillah demek,bir işe uğurlu olması dileği ile başlamak,,
bis yapmak,"seyirci, beğenilen bir konserin sonunda tempolu bir biçimde alkışlayarak sanatçıyı veya sanatçıları bir eser seslendirmesi için yeniden sahneye çağırmak",,
bitap düşmek,bitkin düşmek,,
biti kanlanmak,sıkıntı içinde yaşayan bir kişi para ve varlık yönünden güçlenmek,,
bitkin düşmek,"yorgunluk vb. sebeplerle gücü tükenmiş olmak, güçsüz duruma gelmek",,
bitmek tükenmek bilmemek,"bir türlü sonu gelmemek, eksilmemek",,
biyopsi yapmak,"mikroskop altında incelemek, çeşitli testler yapmak ve tanı koymak amacıyla vücudun herhangi bir bölümünden doku veya hücre parçası almak [tıp]",,
bizar etmek,"tedirgin etmek, usandırmak",,
bizar olmak,"usanmak, bıkmak",,
bloke etmek,"kullanılmasını önlemek amacıyla el koymak | savaş durumundaki bir ülkenin dış ülkelerle ilişkisini engellemek | kapatmak, durdurmak | ödeme yapabilmek için banka tarafından müşteri hesabında belirli bir tutarı güvence altına almak [ekonomi] | ödenmeyen borç yüzünden veya şifreyi yanlış girmeden dolayı banka kredi kartının kullanılmasını engellemek [ekonomi] | futbolda kaleci topu yakalamak [spor]",,
blok yapmak,bloklamak,,
blöf yapmak,karşısındakini yanıltarak veya yıldırarak bir işten caydırmak için aslı olmayan söz söylemek veya aldatıcı tavır takınmak,,
boca etmek,"geminin başını rüzgâr almayan tarafa çevirmek | birden çevirip boşaltmak, dökmek",,
bocuk domuzuna dönmek,çok semiz ve besili olmak,,
bodur kalmak,boyu uzamamak | gelişmemek,,
boğaya çekmek,ineği boğa ile cinsel ilişkide bulundurmak,,
boğaya gelmek,çiftleşme zamanı gelmek,,
boğazına dikkat etmek,"yiyeceğine, içeceğine özen göstermek",,
boğazına dizilmek,"üzüntü, kaygı vb. sebeplerle isteksiz yemek, iştahı kesilmek",,
boğazına durmak,yediği şeyi yutamamak,,
boğazına indirmek,fazla ve gelişigüzel yemek,,
boğazına sarılmak,üstüne yürümek,,
boğazından artırmak,yiyeceğinden kısıp parasını artırmak,,
boğazından geçmemek,sevdiği bir kimsenin yokluğu veya yoksulluğu dolayısıyla bir yiyeceği yalnız başına yemekten üzüntü duymak,,
boğazından kesmek,yiyip içmede çok tutumlu davranmak,,
boğazında düğümlenmek,söylemek istediğini heyecan veya üzüntü yüzünden diyememek,,
boğazında kalmak,"ağzındaki lokmayı üzüntü dolayısıyla yutamaz duruma gelmek | sesi kesilmek, konuşamamak",,
boğazını doyurmak,karın doyurmak,,
boğazını sevmek,yiyip içmeye düşkün olmak,,
boğazını sıkmak,"bunaltmak, sıkıntı vermek",,
boğazını yırtmak,olanca gücüyle bağırmak,,
boğazı açılmak,iştahı artmak,,
boğazı düğümlenmek,üzüntüden boğazı tıkanmak,,
boğazı inmek,"bademcikleri şişmek, iltihaplanmak",,
boğazı işlemek,durmadan bir şeyler yemek,,
boğazı kurumak,çok susamak,,
boğaz açmak,ağaçların dibini kazarak toprağı kabartmak,,
boğaz boğaza gelmek,zorlu kavga etmek,,
boğaz olmak,boğazı ağrımak | imrenmekten boğazı şişmek,,
boğuntuya getirmek,"birini bunaltıp şaşırtmak yolu ile kendisinden, bir iş veya mal karşılığı olarak çok miktarda para çekmek | bir kimseyi şaşkına çevirerek anlamasına fırsat vermeden kandırmak",,
bohçanın dört ucunu bir araya getirememek,iki yakayı bir araya getirememek | dengeyi sağlayamamak,,
bohçasını koltuğuna almak,kendi isteğiyle ayrılmak,,
bohçasını koltuğuna vermek,"kovmak, işine son vermek",,
bohçasını toplamak,eşyasını toplamak,,
boka sarmak,"işler, olaylar ve durumlar içinden çıkılamayacak kadar kötü bir hâl almak",,
bokunda boncuk bulmak,birine hak etmediği hâlde çok değer vermek,,
bokuyla kavga etmek,"çok sinirli ve geçimsiz olmak, her şeye öfkelenir olmak",,
boku çıkmak,bir iş veya durum tatsızlaşmak,,
bok atmak,"birine leke sürmek, kara çalmak",,
bok karıştırmak,bir işi bozacak bir biçimde davranmak,,
bok yemek,yakışıksız bir iş yapmak,,
bok yoluna gitmek,"yararsız, gereksiz bir şey uğruna yok olmak",,
bollukta büyümek,maddi sıkıntı görmeden yetişmek,,
bol doğramak,parasını saçıp savurmak,,
bombardımana tutmak,bombardıman etmek,,
bombardıman etmek,"aralıksız bir biçimde top ateşi veya bomba ile bir yere saldırmak | bir kimseyi birbiri ardına gelen ağır sözlerle paylamak | etkili bir biçimde ve sık olarak gündeme getirmek, duyurmak",,
bombası patlamak,bir olay birdenbire ortaya çıkmak,,
bomba gibi patlamak,öfkelenerek birdenbire ve yüksek sesle bağırıp çağırmak | bir olay birdenbire ortaya çıkarak herkesi şaşırtmak,,
bomba patlatmak,şaşkınlık yaratacak bir haber veya bilgiyi duyurmak,,
bombe yapmak,bombelenmek,,
boncuk boncuk terlemek,alında veya yüzde boncuk gibi yuvarlak ter taneleri belirmek,,
bono kırdırmak,"bir bonoyu, süresi dolmadan eksiğine paraya çevirmek",,
bono vermek,borç alındığını gösteren vadeli senedi imzalayıp teslim etmek,,
borca almak,veresiye almak,,
borca batmak,çok borçlu olmak,,
borca girmek,"borçlanmak, borç para almak",,
borcunu bilmek,bir şey yapmayı yerine getirilmesi gereken bir iş olarak değerlendirmek | borcunu zamanında öder olmak,,
borcunu kapatmak,borcunu ödeyip bitirmek,,
"borcun iyisi vermek, derdin iyisi ölmek","""borçlu ve dertli bir biçimde yaşanılmaz; borçtan kurtulmanın yolu onu vermek, onulmaz dertten kurtulmanın çıkar yolu ise ölmektir"" anlamında kullanılan bir söz",,
borcu boğazını aşmak,borca batmak,,
borçlu çıkmak,alacak verecek hesabında borçlu duruma düşmek,,
borçlu kalmak,alacak verecek hesabında parası yeterli gelmemek | minnettar kalmak,,
borçlu yatırmamak,borçlu ölen bir kimsenin yakınları ölenin borcunu ödemek,,
borçtan kurtulmak,borcunu ödemek,,
borç almak,daha sonra ödemek üzere birinden para veya bir şey almak,,
borç altına girmek,ödeme imkânlarını zorlayacak şekilde borçlanmak,,
borç bini aşmak,borç altından kalkılamayacak duruma gelmek,,
borç gırtlağına çıkmak,borca batmak,,
borç harç etmek,sürekli borç almak,,
borç takmak,borcunu ödememek,,
borç vermek,daha sonra ödenmek üzere birine para veya bir şey vermek,,
borç yemek,sürekli borç alarak yaşamak,,
borda etmek,yandan yanaşmak,,
borusunu çalmak,"çıkar sağladığı kimsenin davasını gütmek, onun lehine çalışmak",,
borusu ötmek,"sözü geçmek, yetkisi olmak",,
boru çalmak,borazan ile bir müzik parçasını seslendirmek,,
boru gibi ötmek,ses çok güçlü ve kalın çıkmak | kalın bir sesle rahatsız edecek şekilde konuşmak | boş konuşmak,,
boşa almak,"motorlu araçlarda hareketi veren ve alan parçalar arasındaki bağlantıyı devreden çıkarmak, rölantiye almak | bir işi zamanında yapmayıp belirsiz bir zamana bırakmak",,
boşa çıkarmak,olumlu bir sonuç alınmasını engellemek,,
boşa çıkmak,"umut, düşünce vb. şeyler sonuç vermemek, gerçekleşmemek",,
boşa gitmek,"harcanan emek, para vb. hiçbir işe yaramamak, olumlu bir sonuca ulaşamamak",,
boşa vermek,zamanı boşa harcamak,,
boşboğazlık etmek,"gereksiz, yersiz, düşüncesiz konuşmak",,
boşluğa düşmek,"kendisini manevi olarak bitmiş, tükenmiş hissetmek, amaçsızca yaşamak",,
boşta gezmek,işsiz olmak,,
boşta kalmak,işsiz kalmak,,
boş bırakmak,"boş durumda bulundurmak | tamamlamamış olmak, noksan ve eksik bırakmak | ev, ülke vb. içinde veya üzerinde oturan kimse kalmamak",,
boş bırakmamak,"para, yiyecek vb. şeylerle yardım ederek, yanında bulunarak ilgi göstermek | bir işle meşgul olmasını sağlamak",,
boş bulunmak,dikkatsiz ve dalgın bulunmak | söylenmesi sakıncalı olan bir şeyi söyleyivermek,,
boş çıkmak,"umduğu gerçekleşmemek, sonuç vermemek",,
boş çıkmamak,bir işten az da olsa bir kazançla çıkmak,,
boş dönmek,hiçbir şey elde edemeden geri gelmek,,
boş durmak,"işsiz kalmak, çalışmamak",,
boş durmamak,her zaman bir işle uğraşmak | birinin yaptığına karşılık olarak bir harekette bulunmak,,
boş düşmek,kadın kocasından İslam hukukuna göre boşanmış sayılmak,,
boş geçmek,"dilenciye veya yardım toplayan cami, dernek vb.ne herhangi bir şey vermeden geçip gitmek",,
boş gözlerle bakmak,anlamsız anlamsız bakmak,,
boş kalmak,kimse oturmamak | işsiz kalmak | tarla ekilmemiş olmak,,
boş konuşmamak,"gerçekleri söylemek, bilgisine dayanarak anlatmak",,
boş koymak,yoksun bırakmak,,
boş oturmak,hiçbir işi olmamak,,
boş vermek,"ciddiye almamak, önemsememek",,
boş yerine vurmak,böğürlerine vurmak,,
boyası atmak,boyası solmak,,
boya çekmek,boyca uzamak,,
boya kullanmak,"boyanmak, makyaj yapmak",,
boya tutmak,bir şey iyi boyanır olmak,,
boya (veya boyasını) vermek,ıslanınca veya yıkanınca boyası çıkmak,,
boykot etmek,"bir işi, bir davranışı yapmama kararı almak",,
boyna etmek,sandalı kıçtan tek kürekle yürütmek,,
boynuna almak,bir şeyi borç veya ödev olarak üzerine almak,,
boynuna geçirmek,bir şeyi kendine mal etmek; zimmetine geçirmek,,
boynunda kalmak,bir sözü iletmediği veya birine ödenecek parayı ödemediği için üzerinde borç kalmak,,
boynunu kırmak,çekip gitmek,,
boynunu uzatmak,"her şeye, her cezaya razı olmak",,
boynunu vurmak,başını keserek öldürmek,,
boynuzları yaldızlatmak,tekrar tekrar aldatılmak,,
boynuz çekmek,"boynuz kullanarak kan çekmek, hacamat etmek",,
boynuz eğmek,"istemeyerek uymak, karşı tarafın gücünü kabul etmek",,
boynuz isterken kulaktan olmak,"daha iyisini, mükemmelini ararken mevcut olanı yitirmek",,
boynuz kulağı geçmek,bir konuda daha sonra yetişenler yetenek ve başarı bakımından eskileri geçmek,,
boynu armut sapına dönmek,çok zayıflamak,,
boynu eğri olmak,herhangi bir sebeple birine karşı direnecek veya söz söyleyecek durumda olmamak,,
